wilayah;kecamatan;kelurahan;nama_halte;lokasi
Jakarta Timur;Jatinegara;Jatinegara;Bidara Cina;Jalan Otto Iskandar Dinata
Jakarta Timur;Jatinegara;Jatinegara;Cawang Baru;Jalan Otto Iskandar Dinata
Jakarta Timur;Jatinegara;Jatinegara;Simpang Cawang;Jalan Cawang Underpass
Jakarta Timur;Jatinegara;Jatinegara;Flyover Jatinegara;Jalan Ahmad Yani
Jakarta Timur;Jatinegara;Jatinegara;Cipinang;Jalan I Gusti Ngurah Rai
Jakarta Timur;Jatinegara;Jatinegara;Kebon Nanas;Jalan DI Panjaitan
Jakarta Timur;Jatinegara;Jatinegara;Ciliwung Arah Timur;Jalan MT Haryono
Jakarta Timur;Jatinegara;Jatinegara;Gelanggang Remaja;Jalan Otto Iskandar Dinata
Jakarta Pusat;Johar Baru;Johar Baru;Galur;Jalan Letnan Jenderal Suprapto
Jakarta Barat;Kalideres;Kalideres;Kalideres;Jalan Madrasah Raya
Jakarta Barat;Kalideres;Kalideres;Pesakih;Jalan Daan Mogot
Kota Tangerang;Ciledug;Karang Tengah;CBD Ciledug;Jalan Palem Ganda Asri
Jakarta Timur;Cakung;Kayu Tinggi;Cakung Cilincing;Jalan Bekasi Raya
Jakarta Selatan;Kebayoran Baru;Kebayoran Baru;Mayestik;Jalan Kyai Maja
Jakarta Selatan;Mampang Prapatan;Kebayoran Baru;Widya Chandra Telkomsel Arah Barat;Jalan Jenderal Gatot Subroto
Jakarta Selatan;Kebayoran Baru;Kebayoran Baru;Pasar Santa;Jalan Robert Wolter Monginsidi
Jakarta Selatan;Kebayoran Baru;Kebayoran Baru;Velbak;Jalan Kebayoran Baru
Jakarta Selatan;Kebayoran Baru;Kebayoran Baru;CSW 2;Jalan Kyai Maja
Jakarta Selatan;Kebayoran Baru;Kebayoran Baru;Rawa Barat;Jalan Robert Wolter Monginsidi
Jakarta Selatan;Kebayoran Baru;Kebayoran Baru;Blok M;Jalan Palatehan
Jakarta Selatan;Kebayoran Baru;Kebayoran Baru;ASEAN;Jalan Trunojoyo
Jakarta Selatan;Kebayoran Baru;Kebayoran Baru;Kejaksaan Agung;Jalan Panglima Polim Raya
Jakarta Selatan;Kebayoran Baru;Kebayoran Baru;Masjid Agung;Jalan Sisingamangaraja
Jakarta Selatan;Setiabudi;Kebayoran Baru;Semanggi;Jalan Gatot Subroto
Jakarta Selatan;Kebayoran Baru;Kebayoran Baru;CSW 1;Jalan Kyai Maja
Jakarta Pusat;Tanah Abang;Kebayoran Baru;Bundaran Senayan;Jalan Jenderal Sudirman
Jakarta Selatan;Kebayoran Lama;Kebayoran Lama;Kebayoran Lama;Jalan Ciledug Raya
Jakarta Selatan;Kebayoran Lama;Kebayoran Lama;Bungur;Jalan Sultan Iskandar Muda
Jakarta Selatan;Kebayoran Lama;Kebayoran Lama;Kebayoran;Jalan Teuku Nyak Arief
Jakarta Selatan;Kebayoran Lama;Kebayoran Lama;Permata Hijau;Jalan Letnan Jenderal Soepeno
Jakarta Selatan;Kebayoran Lama;Kebayoran Lama;Underpass Lebak Bulus;Jalan Metro Pondok Indah
Jakarta Selatan;Kebayoran Lama;Kebayoran Lama;Pondok Indah;Jalan Metro Pondok Indah
Jakarta Selatan;Kebayoran Lama;Kebayoran Lama;Pondok Pinang;Jalan Pondok Pinang Raya
Jakarta Selatan;Kebayoran Lama;Kebayoran Lama;Tanah Kusir;Jalan Sultan Iskandar Muda
Jakarta Selatan;Kebayoran Lama;Kebayoran Lama;Seskoal;Jalan Ciledug Raya
Jakarta Selatan;Kebayoran Lama;Kebayoran Lama;Simprug;Jalan Teuku Nyak Arief
Jakarta Selatan;Kebayoran Lama;Kebayoran Lama;Cipulir;Jalan Ciledug Raya
Jakarta Barat;Kebon Jeruk;Kebon Jeruk;Damai;Jalan Daan Mogot
Jakarta Barat;Kebon Jeruk;Kebon Jeruk;Kebon Jeruk;Jalan Panjang Raya
Jakarta Barat;Kebon Jeruk;Kebon Jeruk;Kedoya Panjang;Jalan Panjang Raya
Jakarta Barat;Kebon Jeruk;Kebon Jeruk;Kedoya;Jalan Panjang Raya
Jakarta Barat;Kebon Jeruk;Kebon Jeruk;Kelapa Dua Sasak;Jalan Panjang Raya
Jakarta Barat;Kebon Jeruk;Kebon Jeruk;Arteri;Jalan Arteri Pos Pengumben
Jakarta Barat;Kebon Jeruk;Kebon Jeruk;Pos Pengumben;Jalan Panjang Raya
Jakarta Barat;Kebon Jeruk;Kebon Jeruk;Duri Kepa;Jalan Panjang Raya
Jakarta Timur;Pulo Gadung;Kelapa Gading;Pulo Mas;Jalan Perintis Kemerdekaan
Jakarta Timur;Pulo Gadung;Kelapa Gading;Perintis Kemerdekaan;Jalan Perintis Kemerdekaan
Jakarta Timur;Pulo Gadung;Kelapa Gading;Bermis;Jalan Perintis Kemerdekaan
